scenario,fitness,collision,execution_time
38_pop_7,65.97498229402903,None,60
38_pop_8,206.3976206477206,Ego,14
38_pop_9,105.623285783255,NPC,5
39_pop_0,205.6175339677812,Ego,14
39_pop_1,206.28239982750623,Ego,14
39_pop_2,205.3094942880585,Ego,14
39_pop_3,205.5134057600276,Ego,14
40_pop_0,103.02001913054745,NPC,29
40_pop_1,205.4982682605163,Ego,14
40_pop_2,205.32476520534158,Ego,14
40_pop_3,205.38184271647145,Ego,14
41_pop_0,205.6150893124273,Ego,14
41_pop_1,205.1517863959235,Ego,14
41_pop_2,70.19438123728901,None,60
41_pop_3,205.49823363733904,Ego,14
42_pop_0,205.5123172283646,Ego,14
42_pop_1,205.48277879189868,Ego,14
42_pop_2,207.290293474836,Ego,14
42_pop_3,205.31533966389628,Ego,14
43_pop_0,105.07805298973412,NPC,5
43_pop_1,106.38932828676637,Ego,6
43_pop_2,102.33322566463691,NPC,20
43_pop_3,203.64916850732644,Ego,14
43_pop_4,75.6446973518086,None,60
43_pop_5,103.66694203198888,NPC,6
43_pop_6,104.38571324096561,NPC,5
43_pop_7,65.9079848873916,None,60
43_pop_8,203.3145118794626,Ego,14
43_pop_9,107.17032286948574,NPC,20
44_pop_0,203.7410957025894,Ego,14
44_pop_1,203.9015812552226,Ego,14
44_pop_2,203.83217540537737,Ego,14
44_pop_3,203.66995490335972,Ego,14
45_pop_0,203.50874188667348,Ego,14
45_pop_1,203.63862803065774,Ego,14
45_pop_2,203.72530118604135,Ego,13
45_pop_3,203.84632311395177,Ego,14
46_pop_0,204.50858308059074,Ego,13
46_pop_1,203.8523114337713,Ego,14
46_pop_2,203.1073144518026,Ego,13
46_pop_3,203.80141044806666,Ego,14
47_lis_pop_0,204.53018297943936,Ego,14
47_lis_pop_1,216.15032292342636,Ego,33
47_lis_pop_2,203.73406798776955,Ego,14
47_lis_pop_3,203.7035442745909,Ego,14
48_pop_0,204.51148190720318,Ego,14
48_pop_1,203.41551378402474,Ego,13
48_pop_2,203.72070917990465,Ego,14
48_pop_3,203.7748129300274,Ego,13
49_pop_0,203.81896374691337,Ego,14
49_pop_1,206.16895366076915,Ego,14
49_pop_2,103.66435610099231,NPC,32
49_pop_3,85.34907318437456,None,60
49_pop_4,105.44724534829001,NPC,5
49_pop_5,91.61510223058306,None,60
49_pop_6,90.28060156111682,None,60
49_pop_7,207.4749561040334,Ego,14
49_pop_8,105.65852608361443,NPC,20
49_pop_9,88.19944822933667,None,60
