generation,individual_id,fitness,population_data
7,2,104.14539529564426,"{'npc0': [[80, 5], [3, 4], [69, 5], [23, 6], [36, 7], [17, 8]], 'npc1': [[54, 3], [59, 5], [46, 3], [66, 3], [39, 8], [89, 4]]}"
7,3,102.55377380115337,"{'npc0': [[89, 6], [32, 6], [27, 5], [75, 7], [51, 7], [56, 1]], 'npc1': [[7, 1], [69, 2], [12, 8], [54, 2], [46, 6], [31, 3]]}"
7,4,72.09265468379763,"{'npc0': [[76, 5], [35, 1], [44, 1], [29, 4], [76, 6], [56, 4]], 'npc1': [[83, 3], [88, 8], [57, 1], [85, 4], [50, 8], [62, 1]]}"
7,5,100.95235100532064,"{'npc0': [[38, 2], [86, 8], [58, 1], [84, 1], [21, 3], [32, 5]], 'npc1': [[34, 7], [55, 6], [44, 8], [32, 6], [61, 1], [45, 8]]}"
7,6,60.012239278025994,"{'npc0': [[65, 8], [20, 8], [72, 3], [49, 6], [5, 2], [47, 7]], 'npc1': [[48, 1], [71, 5], [83, 8], [37, 7], [88, 7], [57, 4]]}"
7,7,102.87642509948711,"{'npc0': [[89, 6], [32, 6], [46, 3], [75, 7], [51, 7], [56, 1]], 'npc1': [[7, 1], [69, 2], [12, 8], [54, 2], [46, 6], [31, 3]]}"
8,0,104.02829712609345,"{'npc0': [[80, 5], [3, 4], [69, 5], [23, 6], [36, 7], [17, 8]], 'npc1': [[54, 3], [59, 5], [46, 3], [66, 3], [39, 8], [89, 4]]}"
8,1,102.86132932355132,"{'npc0': [[89, 6], [32, 6], [46, 3], [75, 7], [51, 7], [56, 1]], 'npc1': [[7, 1], [69, 2], [12, 8], [54, 2], [46, 6], [31, 3]]}"
8,2,102.95315888642283,"{'npc0': [[80, 5], [32, 6], [69, 5], [23, 6], [36, 7], [17, 8]], 'npc1': [[7, 1], [59, 5], [46, 3], [66, 3], [39, 8], [89, 4]]}"
8,3,102.87343576981982,"{'npc0': [[89, 6], [3, 4], [46, 3], [75, 7], [51, 7], [56, 1]], 'npc1': [[54, 3], [69, 2], [12, 8], [54, 2], [46, 6], [31, 3]]}"
8,4,72.09265468379763,"{'npc0': [[76, 5], [35, 1], [44, 1], [29, 4], [76, 6], [56, 4]], 'npc1': [[83, 3], [88, 8], [57, 1], [85, 4], [50, 8], [62, 1]]}"
8,5,100.95235100532064,"{'npc0': [[38, 2], [86, 8], [58, 1], [84, 1], [21, 3], [32, 5]], 'npc1': [[34, 7], [55, 6], [44, 8], [32, 6], [61, 1], [45, 8]]}"
8,6,60.012239278025994,"{'npc0': [[65, 8], [20, 8], [72, 3], [49, 6], [5, 2], [47, 7]], 'npc1': [[48, 1], [71, 5], [83, 8], [37, 7], [88, 7], [57, 4]]}"
8,7,102.87642509948711,"{'npc0': [[89, 6], [32, 6], [46, 3], [75, 7], [51, 7], [56, 1]], 'npc1': [[7, 1], [69, 2], [12, 8], [54, 2], [46, 6], [31, 3]]}"
9,0,203.7485862521516,"{'npc0': [[80, 5], [3, 4], [69, 5], [23, 6], [36, 7], [17, 8]], 'npc1': [[54, 3], [59, 5], [46, 3], [66, 3], [39, 8], [89, 4]]}"
9,1,70.75678968381979,"{'npc0': [[80, 5], [32, 6], [69, 6], [23, 6], [36, 7], [17, 8]], 'npc1': [[70, 1], [59, 5], [46, 3], [66, 3], [39, 8], [89, 4]]}"
9,2,202.16044600484085,"{'npc0': [[80, 5], [3, 4], [69, 5], [23, 7], [36, 7], [17, 8]], 'npc1': [[54, 3], [49, 5], [46, 3], [66, 3], [39, 8], [89, 4]]}"
9,3,73.41140562767154,"{'npc0': [[80, 5], [32, 6], [69, 5], [23, 6], [46, 7], [17, 8]], 'npc1': [[7, 1], [59, 5], [46, 3], [66, 3], [39, 1], [89, 4]]}"
9,4,72.09265468379763,"{'npc0': [[76, 5], [35, 1], [44, 1], [29, 4], [76, 6], [56, 4]], 'npc1': [[83, 3], [88, 8], [57, 1], [85, 4], [50, 8], [62, 1]]}"
9,5,100.95235100532064,"{'npc0': [[38, 2], [86, 8], [58, 1], [84, 1], [21, 3], [32, 5]], 'npc1': [[34, 7], [55, 6], [44, 8], [32, 6], [61, 1], [45, 8]]}"
9,6,60.012239278025994,"{'npc0': [[65, 8], [20, 8], [72, 3], [49, 6], [5, 2], [47, 7]], 'npc1': [[48, 1], [71, 5], [83, 8], [37, 7], [88, 7], [57, 4]]}"
9,7,102.87642509948711,"{'npc0': [[89, 6], [32, 6], [46, 3], [75, 7], [51, 7], [56, 1]], 'npc1': [[7, 1], [69, 2], [12, 8], [54, 2], [46, 6], [31, 3]]}"
10,0,105.36824726507037,"{'npc0': [[80, 5], [3, 4], [69, 5], [23, 6], [36, 7], [17, 8]], 'npc1': [[54, 3], [59, 5], [46, 3], [66, 3], [39, 8], [89, 4]]}"
10,1,201.8765085756498,"{'npc0': [[80, 5], [3, 4], [69, 5], [23, 7], [36, 7], [17, 8]], 'npc1': [[54, 3], [49, 4], [46, 3], [66, 3], [39, 8], [89, 4]]}"
10,2,201.75013653807395,"{'npc0': [[80, 5], [3, 4], [69, 5], [23, 6], [36, 8], [17, 8]], 'npc1': [[54, 3], [59, 5], [57, 3], [66, 3], [39, 8], [89, 4]]}"
10,3,202.22188107423722,"{'npc0': [[80, 5], [3, 4], [69, 5], [23, 7], [36, 7], [17, 8]], 'npc1': [[54, 3], [49, 5], [46, 3], [66, 3], [39, 8], [89, 3]]}"
11,0,114.98236669676592,"{'npc0': [[80, 5], [3, 4], [69, 5], [23, 7], [36, 7], [17, 8]], 'npc1': [[54, 3], [49, 5], [46, 3], [66, 3], [39, 8], [89, 3]]}"
11,1,202.44793590054098,"{'npc0': [[80, 5], [3, 4], [69, 5], [23, 7], [36, 7], [17, 8]], 'npc1': [[54, 3], [49, 4], [46, 3], [66, 3], [39, 8], [89, 4]]}"
11,2,205.75578865142649,"{'npc0': [[80, 5], [3, 4], [69, 5], [23, 7], [36, 7], [17, 8]], 'npc1': [[54, 3], [49, 5], [46, 3], [66, 3], [36, 7], [89, 3]]}"
11,3,201.8276821704576,"{'npc0': [[80, 5], [3, 4], [69, 5], [23, 7], [39, 8], [17, 8]], 'npc1': [[54, 3], [50, 4], [46, 3], [66, 3], [39, 8], [89, 4]]}"
12,0,104.67512112368215,"{'npc0': [[80, 5], [3, 4], [69, 5], [23, 7], [36, 7], [17, 8]], 'npc1': [[54, 3], [49, 5], [46, 3], [66, 3], [36, 7], [89, 3]]}"
12,1,201.26084893530833,"{'npc0': [[80, 5], [3, 4], [69, 5], [27, 7], [36, 7], [17, 8]], 'npc1': [[54, 3], [49, 4], [46, 3], [66, 3], [39, 8], [89, 4]]}"
12,2,202.27496758132708,"{'npc0': [[80, 5], [3, 4], [69, 5], [23, 7], [36, 6], [17, 8]], 'npc1': [[54, 4], [49, 5], [46, 3], [66, 3], [36, 7], [89, 3]]}"
12,3,201.93255315014932,"{'npc0': [[80, 5], [3, 4], [69, 5], [23, 7], [36, 7], [17, 8]], 'npc1': [[54, 3], [49, 4], [46, 3], [66, 3], [39, 8], [89, 4]]}"
13,0,107.47346912440625,"{'npc0': [[80, 5], [3, 4], [69, 4], [23, 7], [36, 6], [17, 8]], 'npc1': [[54, 4], [49, 5], [46, 3], [66, 3], [88, 7], [89, 3]]}"
13,1,106.01890475493845,"{'npc0': [[80, 5], [3, 4], [69, 5], [23, 7], [36, 7], [8, 8]], 'npc1': [[54, 3], [49, 4], [46, 3], [66, 3], [39, 8], [89, 4]]}"
13,2,202.78447493352644,"{'npc0': [[48, 5], [3, 4], [69, 5], [23, 7], [36, 6], [17, 8]], 'npc1': [[54, 4], [49, 5], [36, 5], [66, 3], [36, 7], [89, 3]]}"
13,3,201.96005343691635,"{'npc0': [[80, 5], [3, 5], [46, 3], [23, 7], [36, 7], [17, 8]], 'npc1': [[54, 3], [49, 4], [46, 3], [66, 3], [39, 8], [39, 4]]}"
14,0,71.57491808489901,"{'npc0': [[80, 5], [3, 4], [69, 5], [23, 6], [36, 6], [17, 8]], 'npc1': [[54, 4], [59, 5], [46, 3], [66, 3], [15, 8], [89, 4]]}"
14,1,202.21898356198238,"{'npc0': [[80, 5], [3, 4], [69, 5], [23, 6], [36, 6], [17, 8]], 'npc1': [[54, 4], [59, 5], [46, 3], [66, 3], [15, 8], [89, 4]]}"
14,2,201.8606954336842,"{'npc0': [[80, 5], [3, 4], [85, 5], [23, 6], [36, 7], [17, 8]], 'npc1': [[54, 3], [59, 5], [46, 3], [8, 3], [39, 1], [89, 4]]}"
14,3,201.83390891691465,"{'npc0': [[80, 5], [3, 4], [85, 5], [23, 6], [36, 7], [17, 8]], 'npc1': [[54, 3], [59, 5], [46, 3], [8, 3], [39, 1], [89, 4]]}"
14,4,202.16023094326152,"{'npc0': [[80, 5], [3, 4], [69, 5], [23, 7], [36, 7], [17, 8]], 'npc1': [[54, 3], [49, 5], [46, 3], [66, 3], [36, 7], [89, 3]]}"
15,0,102.35270521221386,"{'npc0': [[20, 5], [22, 5], [42, 7], [68, 8], [7, 5], [13, 1]], 'npc1': [[10, 3], [6, 3], [11, 7], [25, 3], [87, 7], [57, 4]]}"
15,1,107.44373020229285,"{'npc0': [[7, 8], [48, 2], [32, 3], [0, 5], [70, 1], [49, 7]], 'npc1': [[65, 2], [87, 8], [17, 7], [80, 4], [38, 5], [37, 2]]}"
15,2,102.87512451478372,"{'npc0': [[20, 4], [38, 5], [25, 3], [88, 6], [9, 1], [6, 6]], 'npc1': [[61, 6], [8, 4], [56, 7], [25, 3], [52, 8], [71, 6]]}"
15,3,67.63116519383333,"{'npc0': [[3, 4], [79, 8], [57, 3], [33, 8], [5, 2], [16, 3]], 'npc1': [[51, 5], [83, 5], [12, 4], [53, 2], [54, 3], [54, 7]]}"
15,4,64.49965576696452,"{'npc0': [[28, 3], [83, 7], [44, 5], [7, 3], [1, 1], [19, 5]], 'npc1': [[23, 8], [86, 7], [69, 8], [1, 3], [44, 6], [54, 1]]}"
15,5,70.98314136570899,"{'npc0': [[31, 8], [58, 4], [10, 6], [2, 3], [84, 1], [41, 8]], 'npc1': [[81, 5], [22, 4], [73, 8], [82, 4], [71, 3], [39, 2]]}"
15,6,58.93225856069333,"{'npc0': [[77, 4], [33, 7], [6, 7], [0, 2], [34, 3], [73, 7]], 'npc1': [[2, 2], [37, 5], [51, 2], [77, 1], [57, 7], [79, 7]]}"
15,7,102.40340768254607,"{'npc0': [[63, 6], [18, 4], [48, 6], [44, 4], [86, 7], [44, 7]], 'npc1': [[59, 2], [1, 2], [49, 3], [84, 8], [81, 4], [48, 2]]}"
16,0,202.0186816596236,"{'npc0': [[7, 8], [48, 2], [32, 3], [0, 5], [70, 1], [49, 7]], 'npc1': [[65, 2], [87, 8], [17, 7], [80, 4], [38, 5], [37, 2]]}"
16,1,102.8770906506049,"{'npc0': [[20, 4], [38, 5], [25, 3], [88, 6], [9, 1], [6, 6]], 'npc1': [[61, 6], [8, 4], [56, 7], [25, 3], [52, 8], [71, 6]]}"
16,2,106.45177439438295,"{'npc0': [[7, 8], [48, 2], [32, 3], [0, 5], [25, 1], [49, 7]], 'npc1': [[65, 2], [87, 8], [17, 7], [80, 4], [38, 5], [25, 6]]}"
16,3,102.87408808108798,"{'npc0': [[20, 4], [38, 5], [25, 3], [88, 6], [9, 1], [6, 6]], 'npc1': [[61, 6], [8, 4], [56, 7], [25, 3], [52, 8], [37, 2]]}"
16,4,64.49965576696452,"{'npc0': [[28, 3], [83, 7], [44, 5], [7, 3], [1, 1], [19, 5]], 'npc1': [[23, 8], [86, 7], [69, 8], [1, 3], [44, 6], [54, 1]]}"
16,5,70.98314136570899,"{'npc0': [[31, 8], [58, 4], [10, 6], [2, 3], [84, 1], [41, 8]], 'npc1': [[81, 5], [22, 4], [73, 8], [82, 4], [71, 3], [39, 2]]}"
16,6,58.93225856069333,"{'npc0': [[77, 4], [33, 7], [6, 7], [0, 2], [34, 3], [73, 7]], 'npc1': [[2, 2], [37, 5], [51, 2], [77, 1], [57, 7], [79, 7]]}"
16,7,102.40340768254607,"{'npc0': [[63, 6], [18, 4], [48, 6], [44, 4], [86, 7], [44, 7]], 'npc1': [[59, 2], [1, 2], [49, 3], [84, 8], [81, 4], [48, 2]]}"
17,0,201.83229138533153,"{'npc0': [[7, 8], [48, 2], [32, 3], [0, 5], [70, 1], [49, 7]], 'npc1': [[65, 2], [87, 8], [17, 7], [80, 4], [38, 5], [37, 2]]}"
17,1,102.87324637112987,"{'npc0': [[20, 4], [38, 5], [25, 3], [88, 6], [9, 1], [6, 6]], 'npc1': [[61, 6], [8, 4], [56, 7], [25, 3], [52, 8], [71, 6]]}"
17,2,101.91938065274668,"{'npc0': [[7, 8], [48, 2], [32, 3], [0, 5], [25, 1], [49, 7]], 'npc1': [[65, 2], [87, 8], [17, 7], [80, 4], [38, 5], [25, 6]]}"
